,Distance
358,7.308281191
359,6.103959903
360,7.308281191
361,6.103959903
362,7.308281191
363,7.308281191
364,6.404699202
365,7.308281191
366,7.91429305
367,7.308281191
368,7.308281191
369,7.308281191
370,6.103959903
371,6.404699202
372,6.404699202
373,7.308281191
374,7.308281191
375,7.308281191
376,7.308281191
377,7.308281191
378,6.103959903
379,6.103959903
380,6.103959903
381,6.103959903
382,7.308281191
383,7.308281191
384,7.308281191
385,7.308281191
386,7.955187187
387,9.624310101
388,7.91429305
389,9.624310101
390,7.308281191
391,6.103959903
392,7.308281191
393,6.404699202
394,7.308281191
395,6.103959903
396,7.308281191
397,7.308281191
398,7.308281191
399,7.308281191
400,6.404699202
401,7.308281191
402,7.308281191
403,7.308281191
404,6.103959903
405,9.124750544
406,6.404699202
407,7.308281191
408,6.404699202
409,6.103959903
410,7.308281191
411,7.308281191
412,6.103959903
413,7.308281191
414,6.103959903
415,7.308281191
416,6.404699202
417,7.308281191
418,6.103959903
419,6.103959903
420,8.896668486
421,6.103959903
422,6.404699202
423,6.404699202
424,8.896668486
425,6.103959903
426,7.308281191
427,9.409001562
428,7.308281191
429,7.955187187
430,6.404699202
431,7.91429305
432,6.103959903
433,7.955187187
434,6.103959903
435,7.308281191
436,7.308281191
437,7.308281191
438,7.308281191
439,6.404699202
440,6.103959903
441,6.103959903
442,6.103959903
443,7.308281191
444,6.404699202
445,6.404699202
446,7.308281191
447,6.103959903
448,6.404699202
449,10.33769083
450,7.955187187
451,6.103959903
452,6.404699202
453,5.097955913
454,7.91429305
455,6.103959903
456,7.308281191
457,6.103959903
458,7.308281191
459,8.382425263
460,7.91429305
461,6.404699202
462,5.571300563
463,7.308281191
464,6.404699202
465,7.308281191
466,6.103959903
467,6.103959903
468,6.404699202
469,9.124750544
470,16.21457879
471,18.56612996
472,13.13620295
473,13.13620295
474,15.47708907
475,18.56612996
476,15.5890913
477,18.56612996
478,17.03839256
479,13.13620295
480,15.47708907
481,13.13620295
482,15.5890913
483,18.56612996
484,18.56612996
485,17.03839256
486,14.16965999
487,14.16965999
488,17.03839256
489,14.16965999
490,18.56612996
491,18.56612996
492,17.03839256
493,17.03839256
494,17.03839256
495,8.616303864
496,8.616303864
497,8.616303864
498,8.616303864
499,8.616303864
500,8.616303864
501,11.848833
502,11.848833
503,11.848833
504,11.848833
505,8.616303864
506,11.848833
507,8.616303864
508,8.616303864
509,8.616303864
510,8.616303864
511,8.616303864
